"名称","状态","入接口","发布服务器","源IP符合条件","目的IP地址转换条件","指定协议","映射目的IP地址","映射目的端口范围"
"科讯网络61联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5874-5874,8088-8088,5060-5060,8016-8016)","10.10.102.61-10.10.102.61","5874-5874,8088-8088,5060-5060,8016-8016"
"科讯网络62联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5899-5899,8099-8099,5590-5590)","10.10.102.62-10.10.102.62","5899-5899,8099-8099,5590-5590"
"科讯网络61电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5874-5874,8088-8088,5060-5060,8016-8016)","10.10.102.61-10.10.102.61","5874-5874,8088-8088,5060-5060,8016-8016"
"科讯网络62电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5899-5899,8099-8099,5590-5590)","10.10.102.62-10.10.102.62","5899-5899,8099-8099,5590-5590"
"科讯网络VPN1","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5000-5000)","10.10.102.60-10.10.102.60","5000-5000"
"科讯网络VPN","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","UDP(0)to(4500-4500,500-500)","10.10.102.60-10.10.102.60","4500-4500,500-500"
"科讯网络VPN(电信）","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5000-5000)","10.10.102.60-10.10.102.60","5000-5000"
"科讯网络VPN1(电信）","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","UDP(0)to(4500-4500,500-500)","10.10.102.60-10.10.102.60","4500-4500,500-500"
"科讯网络63联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(7890-7890,900-900,5881-5881,5080-5080)","10.10.102.63-10.10.102.63","7890-7890,900-900,5881-5881,5080-5080"
"科讯网络63电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(7890-7890,900-900,5881-5881,5080-5080)","10.10.102.63-10.10.102.63","7890-7890,900-900,5881-5881,5080-5080"
"科讯网络64联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5070-5070,90-90,5860-5860)","10.10.102.64-10.10.102.64","5070-5070,90-90,5860-5860"
"科讯网络64电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5070-5070,90-90,5860-5860)","10.10.102.64-10.10.102.64","5070-5070,90-90,5860-5860"
"科讯网络65联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(60-60,5872-5872,5050-5050,8889-8889)","10.10.102.65-10.10.102.65","60-60,5872-5872,5050-5050,8889-8889"
"科讯网络65电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(60-60,5872-5872,5050-5050,8889-8889)","10.10.102.65-10.10.102.65","60-60,5872-5872,5050-5050,8889-8889"
